word,times_added,times_removed,net_change,absolute_change
age,23,24,-1,47
belize,23,23,0,46
rico,23,24,-1,47
mayan,23,23,0,46
total,23,23,0,46
myths,23,20,3,43
number,23,25,-2,48
casas,23,22,1,45
2012,23,24,-1,47
russian,23,25,-2,48
local,23,23,0,46
parts,23,23,0,46
explorer,23,24,-1,47
com,22,25,-3,47
military,22,25,-3,47
retrieved,22,19,3,41
rica,22,22,0,44
centuries,22,23,-1,45
slavery,22,22,0,44
los,22,22,0,44
small,22,21,1,43
voyages,22,23,-1,45
area,22,21,1,43
events,22,22,0,44
original,22,22,0,44
use,22,28,-6,50
german,22,27,-5,49
continents,21,21,0,42
major,21,23,-2,44
speaking,21,21,0,42
replaced,21,22,-1,43
post,21,22,-1,43
ancestry,21,22,-1,43
public,21,22,-1,43
regions,21,21,0,42
claimed,21,22,-1,43
2001,21,21,0,42
republic,21,26,-5,47
did,21,22,-1,43
giornata,21,21,0,42
11,21,21,0,42
nazionale,21,21,0,42
portugal,21,20,1,41
decree,21,20,1,41
powers,21,21,0,42
nacional,21,21,0,42
movements,21,21,0,42
imperial,20,21,-1,41
diversity,20,20,0,40
migration,20,20,0,40
april,20,19,1,39
quechua,20,20,0,40
institutions,20,21,-1,41
inhabitants,20,22,-2,42
laws,20,19,1,39
civilizations,20,26,-6,46
included,20,20,0,40
asia,20,19,1,39
servants,20,19,1,39
created,20,20,0,40
according,19,19,0,38
generally,19,20,-1,39
genocide,19,22,-3,41
took,19,23,-4,42
23,19,19,0,38
example,19,19,0,38
2000,19,18,1,37
cuba,19,24,-5,43
influence,19,20,-1,39
france,19,18,1,37
spoken,19,19,0,38
instead,19,18,1,37
governments,19,18,1,37
aymara,19,19,0,38
followed,19,18,1,37
actions,19,17,2,36
initial,19,19,0,38
species,19,19,0,38
anti,19,20,-1,39
easter,19,20,-1,39
david,19,18,1,37
settlements,18,16,2,34
england,18,18,0,36
ii,18,20,-2,38
men,18,19,-1,37
2002,18,19,-1,37
remains,18,19,-1,37
2006,18,18,0,36
1990,18,19,-1,37
systems,18,18,0,36
2003,18,20,-2,38
mtdna,18,17,1,35
studies,18,18,0,36
recognition,18,18,0,36
landing,18,18,0,36
eventually,18,17,1,35
children,18,22,-4,40
nicaragua,18,19,-1,37
30,18,15,3,33
killed,18,20,-2,38
civilization,18,19,-1,37
aztecs,18,19,-1,37
labor,18,19,-1,37
route,18,19,-1,37
died,18,25,-7,43
documents,18,18,0,36
amerindian,18,18,0,36
list,18,16,2,34
solomon,17,17,0,34
rise,17,17,0,34
study,17,19,-2,36
1500,17,16,1,33
charles,17,16,1,33
march,17,17,0,34
hawaii,17,16,1,33
antarctic,17,18,-1,35
agriculture,17,18,-1,35
commemorate,17,14,3,31
work,17,18,-1,35
myth,17,17,0,34
recent,17,18,-1,35
voyage,17,17,0,34
seen,17,17,0,34
founded,17,18,-1,35
map,17,18,-1,35
considered,17,17,0,34
colonized,17,20,-3,37
long,17,16,1,33
observances,17,16,1,33
related,17,16,1,33
16th,17,19,-2,36
beringia,16,16,0,32
dakota,16,16,0,32
contemporary,16,17,-1,33
place,16,20,-4,36
miskito,16,20,-4,36
measles,16,17,-1,33
agricultural,16,16,0,32
book,16,17,-1,33
identify,16,16,0,32
title,16,16,0,32
close,16,17,-1,33
descendants,16,18,-2,34
ancient,16,16,0,32
terms,16,16,0,32
significant,16,16,0,32
important,16,17,-1,33
kingdom,16,20,-4,36
roman,16,18,-2,34
expansion,16,17,-1,33
white,16,18,-2,34
pp,16,16,0,32
food,16,19,-3,35
set,16,15,1,31
heritage,16,16,0,32
life,16,17,-1,33
colonizers,16,19,-3,35
free,16,16,0,32
natural,16,15,1,31
far,16,20,-4,36
occurred,16,16,0,32
uruguay,16,16,0,32
epidemic,16,15,1,31
numbers,16,17,-1,33
half,16,16,0,32
discovered,16,19,-3,35
times,16,15,1,31
2011,16,16,0,32
pipil,16,16,0,32
home,16,15,1,31
originated,16,17,-1,33
1998,16,16,0,32
largely,15,17,-2,32
community,15,15,0,30
florida,15,20,-5,35
brazilian,15,15,0,30
recognized,15,15,0,30
changes,15,16,-1,31
